CODIGO;DESCRICAO
017238;RARIVIT FR 40 DRG
016360;ANEMIPLUS FR 50 DRG
016361;ANEMIPLUS SOL FR 100ML
018002;TETRASPIR 500MG CX 100 CAP
018899;TONICO VITAL SOL FR 250ML
018900;TONICO VITAL SOL FR 500ML
008166;NIAR 5MG CX 10 COMP
009503;PRINIVIL 20MG CX 30 COMP
007906;MYLANTA PLUS CX 36 COMP MAST SB MORANGO
007907;MYLANTA LIQ FR 240ML SB MORANGO
007054;LOPID 900MG CX 12 COMP
003857;DIMORF 30MG CX 50 COMP
003861;DIMORF 30MG LC CX 60 CAP
003863;DIMORF 60MG LC CX 60 CAP
003865;DIMORF 100MG LC CX 60 CAP
011458;TRICEROL CX 20 CAP
003014;CO-RENITEC 10+25MG CX 30 COMP
012097;VOLTAREN 75MG SR CX 20 COMP RET
001405;BAMIFIX 300MG CX 20 DRG
001406;BAMIFIX 600MG CX 20 DRG
004721;EUPRESSIN H 10+25MG CX 30 COMP
010786;PERFER CX 50 DRG
002317;CEFAMOX 1G CX 10 COMP
004653;ESTRADERM TTS 25MCG CX 8 SIST
004656;ESTRADERM TTS 50MCG CX 8 SIST
004657;ESTRADERM TTS 100MCG CX 8 SIST
004212;DUO DECADRON INJ FA 2ML+KIT SER
001913;CALADERM LO�AO FR 80ML
001914;CALADERM CREME DERM BG 28G
005531;GELMAX CX 120 COMO MAST
006094;HIPOCATRIL 12,5 MG CX 30 COMP
006096;HIPOCATRIL 25MG CX 30 COMP
006098;HIPOCATRIL 50MG X 30 COMP
006338;INFLAREN 75MG X 50 AMP
006339;INFLAREN RETARD 100MG CX 10 CAP RETAR
006540;ISOPTO CETAPRED SOL OFT FR 5ML
006539;ISOPTO CETAPRED POM BG 3,5G
006629;KETOCON 200MG X 10 COMP
006630;KETOCON 200 MG X 30 COMP
008331;NORACIN 400 MG X 14 COMP
009263;PLENOMICINA 250MG CX 60ML
001758;BREXIN PO ORAL CX 10 SACHET
002412;CEPACAINA SOL SPRAY FR 50ML NEB
012331;ZOLOFT 50MG CX 10 COMP
012332;ZOLOFT 50MG CX 20 COMP
006333;INFLANAN 20MG FR 8 COMP
006332;INFLANAN 10MG FR 8 COMP
006334;INFLANAN 20MG FR 16 COMP
012061;VITERGAN ZINCO PLUS CX 30 COMP
010472;SILENCIUM XPE FR 100ML
010471;SILENCIUM CX 20 PAST
009315;POLIPRED SOL FR 5ML
001144;ASPIRINA CX 20 COMP ADU
001154;ASPIRINA CX 20 COMP INF
000484;ALKASELTZER CX 5 ENV X 2 COMP EFV
006193;HYTRIN 2MG CX 14 COMP
012252;ZENTEL 400MG CX 1 COMP
005540;GELUSIL M LIQ FR 240ML SB MORANGO
003980;DIPRIVAN SOL INJ CX 1FA X 50ML
006739;LAMICTAL 25MG CX 30 COMP
003993;DIPROSPAN HYPAK INJ 1AMP X 1ML
009935;REHIDRAT 50 CX 4 ENV X 7,337G SB NATURAL
009940;REHIDRAT 90 CX 4 ENV X 13,950G SB NATUR
008529;OGASTRO 30MG CX 7 CAP
000160;ADALAT 10MG FR 30 COMP
002818;CLIMENE CALEND 21 DRG
008948;PARLODEL SRO 2,5MG CX 28 CAP
008946;PARLODEL SRO 2,5MG CX 14 CAP
008951;PARLODEL SRO 5MG CX 28 CAP
008950;PARLODEL SRO 5MG CX 14 CAP
002806;CLEXANE 40MG INJ CX 10 SER 0,4ML
002805;CLEXANE 20MG INJ CX 10 SER 0,2ML
000977;ANTAGON 150MG CX 10 COMP
000978;ANTAGON 150MG CX 20 COMP
000980;ANTAGON 300MG CX 16 COMP
000979;ANTAGON 300MG CX 8 COMP
001131;ASMAX 1MG CX 20 COMP
001132;ASMAX GTS FR 30ML
001133;ASMAX XPE FR 100ML
001973;CALMAN SOL FR 100ML
003075;COLPIST MT CREME BG 60G+1APLIC
003539;DEXADOR 5000MCG CX 20 COMP
003540;DEXADOR INJ CX 3 X 1ML B+2ML A
003541;DEXADOR INJ CX 50 X 1ML B+2ML A EM
005215;FOLACIN 5MG CX 20 COMP
005216;FOLACIN SOL GTS FR 30ML
005217;FOLACIN SOL FR 100ML
005880;GYNAX N CREME BG 60G+APLIC
006347;INFLAX 10MG CX 16 COMP
006350;INFLAX 20MG CX 16 COMP
006348;INFLAX 20MG CX 8 COMP
006352;INFLAX SOL GTS FR 10ML
007662;MICONAN 200MG CX 10 COMP
007663;MICONAN 20MG CREME BG 30G
007664;MICONAN 20MG SHAMPOO FR 100ML
011095;TERICIN AT CREME BG 60G+1APLIC
001841;BROS 100MG CX 20 CAP
001972;CALMAN CX 20 DRG
001919;CALADRYL LO��O FR 120ML
002012;CANDIDERM 2% CREME BG 30G
002305;CEFALIV CX 12 COMP
005090;FLORINEFE 1MG FR 100 COMP
014797;METAMUCIL CX 10 SACH SB LARANJA
010204;RULID 300MG CX 5 COMP
006357;INIBEX S 25MG CX 20 COMP
006359;INIBEX S 75MG CX 20 COMP D-LENTA
001201;ATENS H 20+12,5MG CX 30 COMP
009083;PENTOX 400MG CX 20 COMP
009084;PENTOX 100MG SOL INJ 5 AMP X 5ML
002405;CENTRUM FR 60 COMP
001251;AVIRAL 50MG CREME DERM BG 10G
010118;RISPERDAL 2MG CX 20 COMP
010119;RISPERDAL 3MG CX 20 COMP
010166;ROTRAM 300MG CX 5 COMP
011689;URODONAL FR 140G
011352;TONOKLEN CX 30 COMP
004203;DUALID S 75MG FR 20 CAP
011544;TURGORAL CX 100 ENV X 27,9G
003820;DILAFLUX 10MG FR 60 CAP
009504;PRINZIDE 20+12,5MG CX 30 COMP
006104;HIPOFAGIN S 75MG CX 20 COMP
003333;DAKTARIN PO FR 30G
000022;ABSTEN S 1MG CX 20 COMP
017877;PROLOPA HBS 125MG CX 30 CAP
009703;PROZAC 20MG LIQ FR 70ML
006398;HUMULIN 70/30 100U FR 10ML
011401;TRANDOR 200MG CX 10 CAP
001104;ASALIT 400MG CX 20 COMP
007744;MIODRINA 10MG CX 20 COMP
007742;MIODRINA 10MG CX 10 AMP X 5ML
007743;MIODRINA 15MG CX AMP X 10ML
011486;TRILEPTAL 300MG CX 20 COMP
011488;TRILEPTAL 600MG CX 20 COMP
003689;DICLOFEN GEL BG 60G
005104;FLOXSTAT 400MG CX 10 COMP
009007;PEDIALYTE 45 PO CX 1ENV SB LARANJA
009008;PEDIALYTE 90 PO CX 1 ENV
002397;CENALFAN PLUS FR 32 COMP
002395;CENALFAN FR 30 COMP
002853;CLOFENAK 15MG SUS ORAL FR 20ML
006838;LEUCOGEN CX 20 CAP
008414;NOVAMOX FR 21 COMP
008415;NOVAMOX SUS ORAL FR 105ML
006251;IMIGRAN SOL INJ GLAXOPEN SER AI
006250;IMIGRAN SOL INJ GLAXOPEN REFIL
012376;ZYRTEC SOL ORAL FR 120 ML
003212;CORDAREX 5MG CX 20 COMP
011823;VEPESID 50MG FR 20 CAP
006825;LESCOL 20MG CX 14 CAP
006827;LESCOL 40MG CX 14 CAP
021738;AMPIICIKLYNA 500MG CX 10 CAP
021835;GRIPEFAGO C CX 20 COMP
021838;IODETASSIO XPE FR 100ML
021884;PULMODEX XPE FR 100ML
021883;PROVIDEX FR 10ML
021907;TESTO CX 30 CAP
021911;TETRACICIN 500MG CX 25BL X 4 CAP
021915;TONICO FONTANA FR 400ML
021854;LARIGON SOL FR 100ML
009381;PREDNISOLON 1,34MG SOL ORAL FR 100ML+MED
007861;MUCOFLUX 50MG XPE FR 100ML
007860;MUCOFLUX 20MG XPE FR 100ML
000229;AFRIN ADU 12H FR 10ML
000227;AFRIN ADU 12H FR 30ML
000228;AFRIN PED FR 20ML
010665;STILNOX CX 20 COMP
004666;ESTROPLUS 0,625MG CX 21 DRG
004667;ESTROPLUS 0,625MG CX 28 DRG
010509;SINTALGIN GTS FR 15ML
000114;ANALGESIN 100MG INF CX 20 ENV X 10 COMP
000115;ANALGESIN 500MG ADU CX 10 ENV X 10 COMP
006088;HIOSPAN COMPOSTO SOL ORAL FR 20ML
006083;HIOSPAN 20MG INJ CX 6 AMP X 1ML
012221;ZADINE 150MG CX 20 COMP
012222;ZADINE 300MG CX 16 COMP
008378;NORVASC 10MG CX 20 COMP
001979;CALMINEX BG 20G ATLETA
008744;OSSOPAN 800MG CX 30 COMP
000033;ACCUVIT CX 30 COMP
003214;CORDAREX 10MG CX 20 COMP
005624;GENUXAL CX 50 DRG
005622;GENUXAL 200MGINJ CX 10 FA
006418;IOLIN NPH 100UI SUS INJ FR 10ML
006417;IOLIN REGULAR 100UI SUS INJ FR 10ML
006425;NEOSULIN NPH 100UI SUS INJ FR 10ML
006426;NEOSULIN LENTA 100UI SUS INJ FR 10ML
006423;NEOSULIN REGULAR 100UI SUS INJ FR 10ML
002588;CILOXAN POM BG 3,5G
005455;GASTRIUM 20MG FR 7 CAP
008441;NOVOCILIN 250MG SUS ORAL FR 150ML
007020;LOCERYL 0,25% CREME 20G
007019;LOCERYL 5% ESMALTE TER 2,5ML
002115;CARBOLITIUM 450MG CX 30 COMP
005208;FLUXENE 20MG CX 14 CAP
005209;FLUXENE 20MG CX 28 CAP
011258;TILADE 2MG AER FR 15,53G=112 DS
009092;PEPRAZOL 20MG CX 28 CAP
007028;LOGAT 150MG CX 10 COMP
000886;ANALGEN POM BG 20G
012706;DILTIZEM 60MG CX 60 COMP
007405;MELHORAL- VIT C CX 100 COMP
017484;CIRCANETTEN 520MG CX 30 CAP
011630;UM INSTANTE CX 24 FLAC X 4 ML
000011;A A S ADU CX 20 COMP
000012;A A S INF CX 30 COMP
001681;BIOSTIM 1MG CX 8 CAP SB LARANJA
002495;CETRIZIN 10MG CX 6 COMP
007149;LUPRON DEPOT 7,5MG INJ CX 1FA+DIL
011280;TIMOPTOL 0,25% XE-SOL OFT FR X 5ML
011281;TIMOPTOL 0,5% XE-SOL OFT FR X 5ML
010814;SUMAX 50MG CX 2 COMP
005783;GLUCOFORMIN 850MG CX 30 COMP
010284;SANDIMMUN NEORAL 100MG SOL OR FR 50ML
010283;SANDIMMUN NEORAL 100MG CX 50 CAP
010282;SANDIMMUN NEORAL 50MG CX 50 CAP
010281;SANDIMMUN NEORAL 25MG CX 50 CAP
007100;LOTENSIN 5MG FR 30 COMP
007101;LOTENSIN 5MG FR 60 COMP
007103;LOTENSIN 10MG FR 30 COMP
007104;LOTENSIN 10MG FR 60 COMP
002804;CLENIL NASAL SPRAY AQUOSO FR 20ML
008886;PANTOZOL 40MG CX 7 COMP
008889;PANTOZOL 40MG CX 14 COMP
007796;MONOCORDIL 50MG CX 24 CAP RET
012324;ZOFRAN 8MG INJ FLEX 5 AMP
012321;ZOFRAN 4MG INJ FLEX CX 5 AMP
002159;CARTRAX CREME BG 35G
011872;VIBRAMICINA 100MG CX 20 COMP
012307;ZOCOR 5MG CX 30 COMP
012354;ZURCAL 40MG CX 14 COMP
003340;DALACIN C 300MG CX 16 CAP
005712;GINSANA 100MG CX 30 CAP
003515;DESONOL 0,5MG POM DERM BG 30G
003514;DESONOL 1MG LO� CAPILAR FR 30G
012267;ZETIR SOL ORAL FR 75ML
004012;DIUPRESS 25MG CX 20 COMP
003828;DILENA CX 21 COMP
006014;HERPEX GEL BG 10G
002541;CICLADOL PO ORAL CX 5 SACH
010203;RULID 150MG CX 10 COMP
011825;VEPESID 100MG INJ CX 10 FA X 5ML
000048;ACETOFEN 500MG CX 50BL X 4 COMP EM
005253;FOSAMAX 10MG CX 15 CAP
005254;FOSAMAX 10MG CX 30 COMP
002319;CEFAMOX 250MG PO SUS FR 100ML
008897;PANZYTRAT 25000 500MG CX 12 CAP
010093;RINO-LASTIN SPRAY NAS FR 10ML
005454;GASTRIUM 10MG FR 14 CAP
006742;LAMISIL 125MG CX 14 COMP
010290;SANDOSTATIN 0,05MG INJ CX 5AMP X 1ML
010291;SANDOSTATIN 0,1MG INJ CX 5AMP X 1ML
010292;SANDOSTATIN 0,5MG INJ CX 5AMP X 1ML
003778;DIGESAN INJ CX 50 AMP X 2ML
001151;ASPIRINA EFERVESCENTE 500MG 50 ENV X 2 COMP
007343;MEGESTAT 40MG SUS FR 240ML
007094;LOSEC 40MG INJ CX 25 AMP
001306;AZITROMIN 600MG 1FR PO P/ PREP
000912;ANCORON 100MG CX 20 COMP
007982;NAVELBINE 10 MG INJ CX 1FA X 1ML
007983;NAVELBINE 50MG INJ CX 1FA X 5ML
005782;GLUCOFORMIN 500MG CX 30 COMP
012339;ZOLTEC 150MG CX 2 CAP
000787;UNI AMPICILIN 1000MG CX 50 AMP
000786;UNI AMPICILIN 500MG CX 50 AMP
000007;A CURITYBINA DISPLAY CX 12 FR X 5ML
004608;ESPASMODID COMPOSTO INJ CX 50 AMP
002721;CISPLATYL 0,5MG INJ CX 1FA X 20ML
002722;CISPLATYL 0,5MG INJ CX 1FA X 100ML
010959;TAMOFEN 10MG CX 30 COMP
010961;TAMOFEN 20MG CX 30 COMP
005008;FLAGYL 40MG PED SUS OR FR 120ML
010170;ROVAMICINA 1,5MUI CX 16 COMP
009121;PERIODONTIL 250+125MG FR 20 COMP
011026;TECNOVORIN 50MG INJ CX 1FA+DIL
010450;SERZONE 100MG CX 14 COMP
010451;SERZONE 150MG CX 14 COMP
003211;CORDAREX 2,5MG CX 20 COMP
001860;BUFEDIL 300MG FR 30 COMP
001862;BUFEDIL 600MG FR 15 COMP
002336;CEFROM 100MG INJ CX 1FA+DIL X 10ML
002337;CEFROM 100MG INJ CX 1FA X 20ML
003341;DALACIN T SOL FR 30ML
010435;SERENUS CX 20 DRG
011448;TRIAZOL 100MG CX 8 CAP
011449;TRIAZOL 150MG CX 1 CAP
010338;SECNIDAL 30MG PO EXTEMP FR 15ML
010339;SECNIDAL 30MGL FR PO PREP EXTEMP 30ML
008359;NORIPURUM VIT CX 30 COMP
009539;PROCTYL POM BG 30G
003094;COMBIRON CX 45 DRG
003766;DIGEPLUS CX 30 CAP
010325;SCALID 100MG CX 12 COMP
014707;ERGOMETRIN 0,2MG INJ CX 50 AMP X 1ML
014708;ERGOMETRIN 125MG CX 25 BL X 20 DRG
003243;CORTISONAL 100MG INJ CX 1FA+DIL 2ML
003244;CORTISONAL 500MG INJ CX 1FA+DIL 2ML
012076;VIXMICINA 1G INJ CX 50 FA+DIL
002326;CEFORAN 1G IM-IV CX FA+DIL 4ML
002102;UNI CARBAMAZ 200MG CX 200 COMP
002990;CLORPROMAZ 100MG CX 5 ENV X 20 COMP
002991;CLORPROMAZ 25MG INJ CX 50AMP X 5ML
003788;DIGESTINA 10MG CX 20 COMP
003789;DIGESTINA SOL ORAL GTS FR 20ML
011848;VEROTINA 20MG CX 28 COMP
004649;ESTRACOMB TTS 4+30+10MG ADES 4+4 ENV
011320;TOBRADEX SOL OFT FR 5ML
011319;TOBRADEX POM OFT BG 3,5G
008813;OXIGEN 40MG SOL ORAL GTS FR 25ML
004387;ENERGIL C 1G TB 10 COMP EFV
006660;KLARICID 500MG CX 14 COMP
009010;PEDIALYTE SOL FR 500ML
009014;PEDIALYTE 45 SOL FR 500ML SB CEREJA
009015;PEDIALYTE 45 SOL FR 500ML SB COCO
009013;PEDIALYTE 45 SOL FR 500ML SB MA�A
009017;PEDIALYTE 90 SOL FR 500ML
005688;GINO FIBRASE POM VAG BG 30G+APL
005687;GINO CAUTEREX BG 30G+APL
008929;PARASIN SUS ORAL FR 10ML
010009;RETEMIC 5MG CX 30 COMP
010010;RETEMIC 5MG CX 60 COMP
010011;RETEMIC 1MG XPE FR 120ML
006026;HICONCIL 500MG PO ORAL FR 150ML
007267;MAXCEF 500MG INJ CX 1FA+DIL
007268;MAXCEF 1G INJ CX 1FA+DIL
007269;MAXCEF 2G INJ CX 1FA S/DIL
011489;TRILEPTAL 6% SUS ORAL FR 100ML
009937;REHIDRAT 50 CX 4 ENV X 7,625G SB LARANJA
006714;LACIPIL 4MG CX 14 COMP
009987;REPOVIT FR 30 COMP
007985;NAVOBAN 5MG INJ CX 1AMP X 5ML
007984;NAVOBAN 5MG CX 5 CAP
000958;ANGIOLONG AP 90MG CX 20 CAP
000959;ANGIOLONG AP 180MG CX 20 CAP
000960;ANGIOLONG AP 300MG CX 10 CAP
004823;FARLUTAL 2,5MG CX 14 COMP
004824;FARLUTAL 5MG CX 14 COMP
004827;FARLUTAL 10MG CX 14 COMP
000956;ANGIOLONG 30MG CX 50 COMP
000957;ANGIOLONG 60MG CX 50 COMP
001124;ASMALERGIN 0,2MG XPE FR 100ML
001123;ASMALERGIN 1MG CX 20 COMP
011004;TAXOTERE 80MG INJ 1FA 2ML+DIL 6ML
011003;TAXOTERE 20MG INJ 1FA 0,5ML+DIL 1,5ML
004327;EMLA 5% BG 5G
020719;CAPEL SHAMP FR 120ML (+7% IPI)
002017;CANDIZOL 150MG CX 2 CAP
002145;CARDURAN 2MG CX 10 COMP
006595;KAMILLOSAN CREME BG 20G
007173;MAGNOPYROL SOL ORAL GTS FR 20ML
006103;HIPOFAGIN S 25MG CX 20 COMP
008384;NOTUSS XPE AD FR 120ML
008385;NOTUSS XPE PED FR 120ML
003456;DEPRAX 20MG CX 28 CAP
011382;TRACONAL 100MG CX 4 CAP
011383;TRACONAL 100MG CX 10 CAP
011384;TRACONAL 100MG CX 15 CAP
001060;ARCOLAN SHAMPOO FR 100ML
008197;NIFELAT 10+25MG CX 28 CAP
011089;TERAGRAN M FR 30 COMP
012041;VITAMINER S XPE FR 240ML
002496;CETRIZIN 10MG GTS FR 7ML
001590;BETADERM N CREME 30G
005231;FONTOL 650MG CX 100 COMP
012258;ZESTORETIC 20MG CX 30 COMP
004822;FARLAC 667MG XPE FR 120ML
002505;CEWIN 1G CX 10 COMP EFV
002506;CEWIN 2G CX 10 COMP EFV
000230;AFRIN SOL NAS FR 30ML
009736;PULMOZYME 2,5MG CX 6 AMP X 2,5ML
008928;PARASIN 400MG COMP MASTIG
007065;LOPROX NL 80MG ESM UNHA FR 3G+30 LEN�OS
010181;ROZEX BG 30G
004860;FELDENE SL 20MG CX10 COMP DIS INST
011757;VALTREX 500MG CX 42 COMP
011543;TRYPTANOL 75MG CX 20 COMP
000864;AMYTRIL 25MG CX 20 CAP
011029;TEGRETARD 200MG CX 20 CAP
011030;TEGRETARD 400MG CX 20 CAP
011255;TIENAM FR SIST MONOVIAL 500MG
005047;FLIXOTIDE 250MCG SPRAY FR 60DS
007710;MIDOTENS 4MG CX 14 COMP
009372;PRAZOL 30MG CX 14 CAP
009371;PRAZOL 30MG CX 7 CAP
003277;CRIXIVAN 200MG FR 360 CAP
003278;CRIXIVAN 400MG FR 180 CAP
006594;KAMILLOSAN CREME BG 50G
011855;VERZUM CX 30 COMP
000880;ANADOR 500MG SOL ORAL FR 10ML
008530;OGASTRO 30MG CX 14 CAP
007472;MERONEM IV 1G CX 10 FRASCOS
007471;MERONEM IV 500MG CX 10 FRASCOS
011675;URITRAT 400MG CX 6 COMP
010369;SEDALGINA CX 20 DRG
009312;POLIMOXIL SUS FR PO 150ML
004388;ENERGIL C 2G TB 10 COMP EFV
004390;ENERGIL C 500MG CX 20 COMP MAST
002040;CAPOTRIL 25MG CX 16 COMP
002459;CETONEO 200MG CX 10 COMP
004675;ETILDOPANAN 500MG CX 20 COMP
008070;EPICITRIN BG 10G
000496;ALOMIDE SOL OFT FR 5ML
007413;MELLERIL 3% SOL ORAL FR 50ML
002802;CLENIL COMPOSIT JET SPRAY FR 15ML
003031;COEX 10MG CX 30 COMP
003032;COEX 50MG CX 10 COMP
001570;BEROCCAL CX 10 COMP EFV SB LAR S/A�UC
001569;BEROCCAL CX 30 COMP
004304;ELOCOM POM DERM 20G
004303;ELOCOM CREME DERM BG 20G
006195;HYTRIN 5MG CX 15 COMP
006196;HYTRIN 5MG CX 30 COMP
006708;LABEL 15MG FR 120ML
007105;LOTENSIN H 5+6,25MG CX 30 COMP
007106;LOTENSIN H 10+12,5MG CX 30 COMP
002369;CEFZIL 250MG PO SUS FR 100ML
002368;CEFZIL 500MG CX 10 COMP
010210;SADOL FR 400ML SB TRADICIONAL
010912;SYSTEN 25MCG CX 8 ADES
010913;SYSTEN 50MCG CX 6 ADES
010914;SYSTEN 50MCG CX 8 ADES
010916;SYSTEN 100MCG CX 8 ADES
011914;VINOCARD Q10 10MG CX 30 COMP
011915;VINOCARD Q10 50MG CX 10 COMP
011916;VINOCARD Q10 50MG CX 20 COMP
005673;GINEDISC 50 PLUS CX 8 ADES
010047;REVITAM ANTI STRESS CX 30 COMP
011652;UNIFILIN 24MG CX 50 AMP X 10ML
001775;UNI BROMAZEPAX 3MG CX 20 COMP
001776;UNI BROMAZEPAX 6MG CX 20 COMP
002105;UNI CARBAMAZ 2% SUS ORAL FR 100ML
003597;UNI DEXA 4MG CX 50 FA X 2,5ML
003666;UNI DIAZEPAX 10MG INJ CX 50 AMP X 2ML
003687;DICLO P 50MG CX 20 DRG
004159;UNI DOXICICLIN 100MG CX 15 DRG
006903;LIDOJET 2% INJ 12 AMP X 20ML
009815;RANIDIN 150MG CX 20 COMP
009802;QUINOFLOX 1% SOL INJ 5 AMP
006161;HYDERGINE 6MG SRO CX 14 CAP
008847;PAMELOR 2MG SOL ORAL FR 100ML
007651;MIACALCIC 100UI INJ CX 5 SER X 1ML
007650;MIACALCIC 50UI INJ CX 5 SER X 0,5ML
001969;CALCORT 22,75MG SOL GTS ORAL FR 13ML
004248;ECTRIN BALSAMICO SUS FR 100ML
004249;ECTRIN SUS FR 100ML
008718;OROXADIN 100MG CX 10 COMP
008719;OROXADIN 100MG CX 30 COMP
007406;MELHORAL CX 30BL X 2 COMP EFERV
000296;AKINETON 2MG CX 80 COMP
003815;DILACORON 80MG CX 30 COMP
003818;DILACORON 240MG CX 30 COMP
005805;GOPTEN 2MG CX 20 CAP
008167;NIAR 5MG CX 30 COMP
008168;NIAR 5MG CX 60 COMP
010970;TANAKAN 40MG CX 30 COMP
015582;TECNOCARB 450MG INJ CX 1FA+DIL
014888;TECNOCRIS 1MG INJ CX 1FA+DIL
009600;PROLEUKIN 18.000MI INJ CX 1FA+DIL
004383;ENDRONAX 10MG CX 15 COMP
004384;ENDRONAX 10MG CX 30 COMP
000879;ANADOR 500MG SOL ORAL FR 20ML
007833;MOVATEC 7,5MG CX 10 COMP
000443;ALFAD 0,25MCG FR 30 CAP
000968;ANGIPRESS CD 50+12,5MG CX 28 COMP
000969;ANGIPRESS CD 100+25MG CX 28 COMP
003080;COLPISTATIN CREME VAG BG 40G+10APL
001096;ARTRINID 50MG INJ CX 50AMP X 2ML
001095;ARTRINID 50MG INJ CX 6AMP X 2ML
001097;ARTRINID 50MG CX 24 CAP
003273;CRISTALPEN 5000MUI CX 50FA+DIL
005438;GASPIREN 20MG CX 14 CAP
015180;OXAPEN 500MG CX 50 FA+DIL X 3ML
007031;LOGAT 300MG CX 16 COMP
012315;ZOFLUX 1MG CX 15 COMP
012316;ZOFLUX 2MG CX 15 COMP
012317;ZOFLUX 4MG CX 15 COMP
008322;NOODIPINA 0,2MG IV FR 50ML+PERFUSOR
011891;VICTRIX 40MG INJ FA+DIL X 10ML
001099;ARTRODAR 50MG CX 30 CAP
007902;MYCOSPOR 10MG CREME BG 15G
007903;MYCOSPOR 10MG SPRAY FR 15ML
010366;SEDALENE SOL ORAL FR 10ML
001986;CALSAN 500MG FR 30 COMP MAST
001236;AURORIX 300MG CX 30 COMP
011774;VASCASE PLUS 5+12,5MG CX 20 COMP
005776;GLOBOCEF 250MG SUS FR 60ML
001708;BLENOXANE 15MG INJ CX 1FA
020204;CLORIDRATO DE AMITRIPTILINA 25MG CX 20 COMP
008757;OSTEOPLUS 300MG CX 30 CAP
008531;OGASTRO 30MG CX 28 CAP
000199;ADVIL CX 20 COMP
012218;YOMAX 5,4MG CX 60 COMP
004651;ESTRADERM MATRIX 1,54MG SIS ADES CX 8 UNID
003981;DIPRIVAN SOL INJ CX 1FA X 100ML
010952;TAMARINE CX 20 CAP
000657;AMOXIFAR 125MG PO EXT FR X 150ML
000658;AMOXIFAR 250MG PO EXT FR X 150ML
000656;AMOXIFAR 500MG CX 24 CAP
005623;GENUXAL 1G INJ CX 10 FA
010939;TAKIL CREME BG 35G
011541;TRUSOPT SOL OFT 2% FR 5ML
008942;PARENZYME TETRACICLINA 500MG CX 8 CAP
011936;VIRILON CX 60 DRG
005780;GLUCOBAY 50MG CX 30 COMP
005781;GLUCOBAY 100MG CX 30 COMP
010610;SOTACOR 160MG CX 20 COMP
010248;AERODINE 4MG SOL ORAL FR 120ML
010247;AERODINE 2MG CX 20 COMP
004782;EZOPEN 200MG CX 25 COMP
014987;LOZAN 200MG CX 10 COMP
014988;LOZAN 200MG CX 30 COMP
008910;TYLIDOL 500MG CX 20 COMP
008911;TYLIDOL 500MG CX 200 COMP
004048;DOLAMIN 125MG CX 16 COMP
012362;ZYLIUM 50MG INJ CX 5 AMP X 2ML
001745;BONTOSS XPE FR 100ML
002162;CASODEX 50MG CX 28 COMP
001250;AVIRAL 400MG CX 70 COMP
012228;ZALAIN CREME 20G
012302;ZITROMAX 500MG CX 2 COMP
012303;ZITROMAX 500MG CX 3 COMP
001625;BI-PROFENID 150MG AP CX 10 COMP
000203;AEROJET 2MG CX 20 COMP
000204;AEROJET 4MG CX 20 COMP
000206;AEROJET XPE FR 100ML
016301;AEROJET SPRAY C/ ESPA� X 200 DOS
007801;MONOCORDIL 5MG CX 30 COMP SUBLING
010175;ROXITROM 300MG CX 5 COMP
011450;TRIAZOL 150MG CX 2 CAP
000158;ACULAR SOL OFT 5ML
009572;PROFENID IV 100MG INJ CX 50 FA
006326;INFLAMAX 50MG CX 20 COMP
006199;HYZAAR 50+12,5MG CX 30 COMP
011252;TIAPRIDAL INJ CX 6AMP X 2ML
001319;AZULFIN 500MG CX 60 COMP
008604;OMEP 10MG CX 14 CAP
008605;OMEP 20MG CX 7 CAP
008606;OMEP 20MG CX 14 CAP
005134;FLUIMUCIL 600MG CX 16 COMP EFV
005136;FLUIMUCIL XPE FR 150ML
005135;FLUIMUCIL XPE FR 100ML
003837;DIMEFOR 850MG CX 30 COMP
002141;CARDIZEM CD 180MG FR 15 CAP
002142;CARDIZEM CD 240MG FR 15 CAP
006541;ISORDIL 5MG CX 30 COMP
006542;ISORDIL 10MG CX 30 COMP
006543;ISORDIL 40MG AP CX 30 COMP
006545;ISORDIL 5MG CX 30 COMP SUBLING
006544;ISORDIL 2,5MG CX 30 COMP SUBLING
009661;PROPRANOLOL AYERST 10MG CX 30 COMP
009662;PROPRANOLOL AYERST 40MG CX 30 COMP
009663;PROPRANOLOL AYERST 80MG CX 30 COMP
011047;TENADREN 40MG CX 30 COMP
011048;TENADREN 80MG CX 30 COMP
010084;RILAN 4% SOL NAS FR DOS 13ML
011001;TAXOL 100MG SOL INJ CX 1FA
001916;CALADERM LO��O 100ML
002810;CLIANE CALEND 28 COMP
003395;DEFLANIL 30MG CX 10 COMP
000501;AMARYL 1MG CX 30 COMP
000502;AMARYL 2MG CX 30 COMP
008794;OVESTRION 1MG CX 30 COMP
008796;OVESTRION 2MG CX 30 COMP
004508;ERIFLOGIN 125MG SUS FR 100ML
004509;ERIFLOGIN 250MG SUS FR 100ML
004505;ERIFLOGIN 250MG CX 20 COMP
004506;ERIFLOGIN 500MG CX 12 COMP
011417;TRASYLOL 500000UIC INF FR 50ML
001884;BUSONID 200MCG AER BUC FR 5ML=100DOS
001883;BUSONID 50MCG AER BUC FR 5ML=100DOS
001885;BUSONID 50MCG AER NAS FR 10ML=200DOS
003368;DDAVP 0,1MG SPRAY NAS FR 2,5ML
006358;INIBEX S 50MG CX 20 COMP D-LENTA
010849;SUPREFACT DEPOT 3,3MG MICROBAST IMPL SER 2
007652;MIACALCIC 200UI SOL NAS NEB FR 2ML
002390;CELLCEPT 500MG CX 50 COMP
